,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
409,0.0,Mon Sep 17 15:58:03 +0000 2018,1.0,0.0,0.0,410,nytimes
410,0.0,Mon Sep 17 15:48:05 +0000 2018,1.0,0.0,0.0,411,nytimes
411,0.0,Mon Sep 17 15:38:04 +0000 2018,1.0,0.0,0.0,412,nytimes
412,0.128,Mon Sep 17 15:28:05 +0000 2018,0.531,0.224,0.245,413,nytimes
413,0.0,Mon Sep 17 15:18:02 +0000 2018,1.0,0.0,0.0,414,nytimes
414,0.0,Mon Sep 17 15:08:01 +0000 2018,1.0,0.0,0.0,415,nytimes
415,0.0,Mon Sep 17 14:58:02 +0000 2018,1.0,0.0,0.0,416,nytimes
416,0.0,Mon Sep 17 14:48:36 +0000 2018,1.0,0.0,0.0,417,nytimes
417,-0.5859,Mon Sep 17 14:46:43 +0000 2018,0.826,0.174,0.0,418,nytimes
418,0.6249,Mon Sep 17 14:38:01 +0000 2018,0.779,0.0,0.221,419,nytimes
419,0.0,Mon Sep 17 14:29:04 +0000 2018,1.0,0.0,0.0,420,nytimes
420,-0.4767,Mon Sep 17 17:28:02 +0000 2018,0.866,0.134,0.0,421,nytimes
421,-0.4939,Mon Sep 17 17:18:01 +0000 2018,0.856,0.144,0.0,422,nytimes
422,0.2235,Mon Sep 17 17:08:01 +0000 2018,0.924,0.0,0.076,423,nytimes
423,0.0,Mon Sep 17 16:58:06 +0000 2018,1.0,0.0,0.0,424,nytimes
424,0.0,Mon Sep 17 16:48:08 +0000 2018,1.0,0.0,0.0,425,nytimes
425,0.0,Mon Sep 17 16:38:05 +0000 2018,1.0,0.0,0.0,426,nytimes
426,0.8516,Mon Sep 17 16:28:02 +0000 2018,0.672,0.0,0.328,427,nytimes
427,0.0,Mon Sep 17 16:18:05 +0000 2018,1.0,0.0,0.0,428,nytimes
428,-0.2732,Mon Sep 17 16:03:20 +0000 2018,0.896,0.104,0.0,429,nytimes
429,0.0,Mon Sep 17 15:58:03 +0000 2018,1.0,0.0,0.0,430,nytimes
430,0.0,Mon Sep 17 15:48:05 +0000 2018,1.0,0.0,0.0,431,nytimes
431,0.0,Mon Sep 17 15:38:04 +0000 2018,1.0,0.0,0.0,432,nytimes
432,0.128,Mon Sep 17 15:28:05 +0000 2018,0.531,0.224,0.245,433,nytimes
433,0.0,Mon Sep 17 15:18:02 +0000 2018,1.0,0.0,0.0,434,nytimes
434,0.0,Mon Sep 17 15:08:01 +0000 2018,1.0,0.0,0.0,435,nytimes
435,0.0,Mon Sep 17 14:58:02 +0000 2018,1.0,0.0,0.0,436,nytimes
436,0.0,Mon Sep 17 14:48:36 +0000 2018,1.0,0.0,0.0,437,nytimes
437,-0.5859,Mon Sep 17 14:46:43 +0000 2018,0.826,0.174,0.0,438,nytimes
438,0.6249,Mon Sep 17 14:38:01 +0000 2018,0.779,0.0,0.221,439,nytimes
439,0.0,Mon Sep 17 14:29:04 +0000 2018,1.0,0.0,0.0,440,nytimes
440,-0.34,Mon Sep 17 14:18:31 +0000 2018,0.652,0.217,0.13,441,nytimes
441,-0.1531,Mon Sep 17 14:14:03 +0000 2018,0.776,0.125,0.099,442,nytimes
442,-0.8126,Mon Sep 17 14:00:05 +0000 2018,0.709,0.291,0.0,443,nytimes
443,0.0,Mon Sep 17 13:46:04 +0000 2018,1.0,0.0,0.0,444,nytimes
444,-0.7184,Mon Sep 17 13:30:13 +0000 2018,0.7,0.3,0.0,445,nytimes
445,-0.4939,Mon Sep 17 13:14:02 +0000 2018,0.724,0.276,0.0,446,nytimes
446,0.0,Mon Sep 17 13:00:10 +0000 2018,1.0,0.0,0.0,447,nytimes
447,0.7964,Mon Sep 17 12:44:06 +0000 2018,0.677,0.0,0.323,448,nytimes
448,0.0,Mon Sep 17 12:30:13 +0000 2018,1.0,0.0,0.0,449,nytimes
449,-0.4215,Mon Sep 17 12:20:06 +0000 2018,0.877,0.123,0.0,450,nytimes
450,-0.9022,Mon Sep 17 12:11:03 +0000 2018,0.631,0.369,0.0,451,nytimes
451,0.2023,Mon Sep 17 12:00:06 +0000 2018,0.904,0.0,0.096,452,nytimes
452,0.5499,Mon Sep 17 11:45:07 +0000 2018,0.822,0.0,0.178,453,nytimes
453,-0.5719,Mon Sep 17 11:30:12 +0000 2018,0.802,0.198,0.0,454,nytimes
454,-0.5994,Mon Sep 17 11:20:04 +0000 2018,0.722,0.213,0.065,455,nytimes
455,-0.6249,Mon Sep 17 11:11:05 +0000 2018,0.796,0.204,0.0,456,nytimes
456,0.0772,Mon Sep 17 11:00:18 +0000 2018,0.936,0.0,0.064,457,nytimes
457,0.0772,Mon Sep 17 10:45:02 +0000 2018,0.812,0.086,0.102,458,nytimes
458,0.0,Mon Sep 17 10:30:10 +0000 2018,0.787,0.106,0.106,459,nytimes
459,-0.2732,Mon Sep 17 10:20:11 +0000 2018,0.632,0.225,0.142,460,nytimes
460,0.0,Mon Sep 17 10:10:02 +0000 2018,1.0,0.0,0.0,461,nytimes
461,0.0,Mon Sep 17 10:00:09 +0000 2018,1.0,0.0,0.0,462,nytimes
462,0.0,Mon Sep 17 09:44:01 +0000 2018,1.0,0.0,0.0,463,nytimes
463,-0.3612,Mon Sep 17 09:41:05 +0000 2018,0.751,0.154,0.095,464,nytimes
464,0.4939,Mon Sep 17 09:15:06 +0000 2018,0.744,0.083,0.174,465,nytimes
465,0.5267,Mon Sep 17 09:00:17 +0000 2018,0.804,0.0,0.196,466,nytimes
466,0.4019,Mon Sep 17 08:31:56 +0000 2018,0.856,0.0,0.144,467,nytimes
467,-0.128,Mon Sep 17 08:15:03 +0000 2018,0.664,0.199,0.137,468,nytimes
468,-0.6124,Mon Sep 17 08:00:11 +0000 2018,0.773,0.227,0.0,469,nytimes
469,-0.8523,Mon Sep 17 07:46:56 +0000 2018,0.659,0.341,0.0,470,nytimes
470,-0.3818,Mon Sep 17 07:45:05 +0000 2018,0.874,0.126,0.0,471,nytimes
471,-0.34,Mon Sep 17 07:30:06 +0000 2018,0.888,0.112,0.0,472,nytimes
472,0.8341,Mon Sep 17 07:15:03 +0000 2018,0.554,0.0,0.446,473,nytimes
473,-0.6705,Mon Sep 17 07:00:04 +0000 2018,0.756,0.244,0.0,474,nytimes
474,0.7964,Mon Sep 17 06:59:48 +0000 2018,0.705,0.0,0.295,475,nytimes
475,0.0,Mon Sep 17 06:45:02 +0000 2018,1.0,0.0,0.0,476,nytimes
476,-0.2732,Mon Sep 17 06:30:07 +0000 2018,0.87,0.13,0.0,477,nytimes
477,0.0,Mon Sep 17 06:15:05 +0000 2018,1.0,0.0,0.0,478,nytimes
478,-0.6243,Mon Sep 17 06:00:06 +0000 2018,0.83,0.17,0.0,479,nytimes
479,-0.4215,Mon Sep 17 05:45:04 +0000 2018,0.882,0.118,0.0,480,nytimes
480,-0.2732,Mon Sep 17 05:30:04 +0000 2018,0.729,0.158,0.113,481,nytimes
481,0.0,Mon Sep 17 05:15:05 +0000 2018,1.0,0.0,0.0,482,nytimes
482,0.2716,Mon Sep 17 05:12:35 +0000 2018,0.896,0.0,0.104,483,nytimes
483,-0.4939,Mon Sep 17 04:50:24 +0000 2018,0.842,0.158,0.0,484,nytimes
484,-0.1531,Mon Sep 17 04:45:02 +0000 2018,0.794,0.115,0.091,485,nytimes
485,-0.3818,Mon Sep 17 04:30:08 +0000 2018,0.867,0.133,0.0,486,nytimes
486,0.0,Mon Sep 17 04:15:05 +0000 2018,1.0,0.0,0.0,487,nytimes
487,0.0,Mon Sep 17 04:02:51 +0000 2018,1.0,0.0,0.0,488,nytimes
488,-0.4939,Mon Sep 17 04:00:08 +0000 2018,0.873,0.127,0.0,489,nytimes
489,0.0,Mon Sep 17 03:35:12 +0000 2018,1.0,0.0,0.0,490,nytimes
490,0.0,Mon Sep 17 03:17:08 +0000 2018,1.0,0.0,0.0,491,nytimes
491,-0.1779,Mon Sep 17 03:01:04 +0000 2018,0.712,0.139,0.15,492,nytimes
492,-0.3182,Mon Sep 17 02:43:39 +0000 2018,0.839,0.161,0.0,493,nytimes
493,0.0,Mon Sep 17 02:32:10 +0000 2018,1.0,0.0,0.0,494,nytimes
494,0.6908,Mon Sep 17 02:16:16 +0000 2018,0.749,0.0,0.251,495,nytimes
495,-0.4767,Mon Sep 17 02:07:08 +0000 2018,0.819,0.181,0.0,496,nytimes
496,-0.4215,Mon Sep 17 01:59:58 +0000 2018,0.872,0.128,0.0,497,nytimes
497,0.0,Mon Sep 17 01:43:49 +0000 2018,1.0,0.0,0.0,498,nytimes
498,0.0,Mon Sep 17 01:30:29 +0000 2018,1.0,0.0,0.0,499,nytimes
499,0.0,Mon Sep 17 01:22:16 +0000 2018,0.58,0.21,0.21,500,nytimes
